ASSERTION	AAMDAAMFAAAAAAAAAFlA
ASSERTION	AAMEAAEEAAAAAAAAwFdABgAAAAAAAECfQA==
ASSERTION	AAMEAAECBgAAAAAAAHCHQA==
RUN	uk.gov.dhsc.htbhf.ClaimSimulation	claimsimulation	1569814050109	Web-UI performance tests	3.0.3
REQUEST	583		send_do_you_live_in_scotland_yes Redirect 1	1569814088853	1569814088905	OK	 
REQUEST	186		accept_terms_and_conditions	1569814088766	1569814088906	OK	 
REQUEST	249		send_code	1569814088866	1569814088909	OK	 
REQUEST	157		accept_terms_and_conditions	1569814088784	1569814088912	OK	 
REQUEST	201		enter_code	1569814088894	1569814088910	OK	 
REQUEST	374		select_address	1569814088866	1569814088915	OK	 
REQUEST	566		send_do_you_live_in_scotland_yes	1569814088859	1569814088916	OK	 
REQUEST	174		accept_terms_and_conditions Redirect 1	1569814088853	1569814088920	OK	 
REQUEST	390		send_postcode	1569814088859	1569814088924	OK	 
REQUEST	200		enter_code Redirect 1	1569814088874	1569814088925	OK	 
REQUEST	186		accept_terms_and_conditions Redirect 1	1569814088907	1569814088929	OK	 
USER	Full scenarios	174	END	1569814064904	1569814088920
USER	Full scenarios	186	END	1569814065624	1569814088929
REQUEST	611		scotland-yes	1569814088904	1569814088931	OK	 
REQUEST	172		accept_terms_and_conditions Redirect 1	1569814088856	1569814088931	OK	 
USER	Full scenarios	172	END	1569814064624	1569814088932
REQUEST	266		send_email_address	1569814088904	1569814088934	OK	 
REQUEST	621		send_do_you_live_in_scotland_no	1569814088872	1569814088943	OK	 
REQUEST	201		enter_code Redirect 1	1569814088912	1569814088943	OK	 
REQUEST	296		send_phone_number	1569814088875	1569814088949	OK	 
REQUEST	157		accept_terms_and_conditions Redirect 1	1569814088912	1569814088948	OK	 
USER	Full scenarios	157	END	1569814063474	1569814088949
REQUEST	249		send_code Redirect 1	1569814088909	1569814088951	OK	 
REQUEST	566		send_do_you_live_in_scotland_yes Redirect 1	1569814088916	1569814088956	OK	 
REQUEST	320		send_phone_number	1569814088925	1569814088964	OK	 
USER	Scottish Scenario	542	END	1569814085635	1569814088964
USER	Scottish Scenario	536	END	1569814085086	1569814088964
REQUEST	590		send_dob	1569814088884	1569814088966	OK	 
REQUEST	431		send_nino Redirect 1	1569814088884	1569814088966	OK	 
REQUEST	409		send_nino Redirect 1	1569814088885	1569814088967	OK	 
REQUEST	532		send_do_you_have_children Redirect 1	1569814088891	1569814088966	OK	 
REQUEST	533		send_do_you_have_children Redirect 1	1569814088873	1569814088970	OK	 
REQUEST	283		send_phone_number Redirect 1	1569814088861	1569814088972	OK	 
REQUEST	277		send_email_address	1569814088928	1569814088973	OK	 
REQUEST	484		send_are_you_pregnant	1569814088925	1569814088986	OK	 
REQUEST	390		send_postcode Redirect 1	1569814088924	1569814088987	OK	 
REQUEST	173		accept_terms_and_conditions	1569814088886	1569814088987	OK	 
REQUEST	266		send_email_address Redirect 1	1569814088934	1569814088987	OK	 
REQUEST	622		scotland-no	1569814088905	1569814088994	OK	 
USER	Full scenarios	634	START	1569814088994	1569814088994
USER	Scottish Scenario	623	START	1569814088994	1569814088994
REQUEST	591		send_dob	1569814088894	1569814088995	OK	 
REQUEST	374		select_address Redirect 1	1569814088915	1569814088998	OK	 
REQUEST	621		send_do_you_live_in_scotland_no Redirect 1	1569814088944	1569814088999	OK	 
REQUEST	546		send_children_dob	1569814088928	1569814089000	OK	 
REQUEST	551		send_do_you_have_children	1569814088944	1569814089001	OK	 
REQUEST	296		send_phone_number Redirect 1	1569814088949	1569814089012	OK	 
REQUEST	320		send_phone_number Redirect 1	1569814088964	1569814089013	OK	 
REQUEST	554		send_do_you_have_children	1569814088954	1569814089021	OK	 
REQUEST	590		send_dob Redirect 1	1569814088966	1569814089022	OK	 
REQUEST	187		accept_terms_and_conditions	1569814088935	1569814089023	OK	 
REQUEST	332		send_phone_number	1569814088985	1569814089029	OK	 
REQUEST	634		scotland-no	1569814088995	1569814089032	OK	 
REQUEST	484		send_are_you_pregnant Redirect 1	1569814088986	1569814089033	OK	 
REQUEST	366		select_address	1569814088975	1569814089033	OK	 
USER	Scottish Scenario	545	END	1569814085904	1569814089034
REQUEST	277		send_email_address Redirect 1	1569814088973	1569814089038	OK	 
REQUEST	579		send_do_you_live_in_scotland_yes	1569814088975	1569814089040	OK	 
REQUEST	319		send_phone_number	1569814088985	1569814089041	OK	 
REQUEST	634		send_do_you_live_in_scotland_no	1569814089032	1569814089044	OK	 
REQUEST	391		send_postcode	1569814088975	1569814089051	OK	 
REQUEST	550		send_do_you_have_children	1569814088944	1569814089059	OK	 
REQUEST	332		send_phone_number Redirect 1	1569814089029	1569814089060	OK	 
REQUEST	185		accept_terms_and_conditions	1569814088975	1569814089061	OK	 
REQUEST	318		send_phone_number	1569814089045	1569814089062	OK	 
REQUEST	173		accept_terms_and_conditions Redirect 1	1569814088988	1569814089067	OK	 
USER	Full scenarios	173	END	1569814064764	1569814089067
REQUEST	634		send_do_you_live_in_scotland_no Redirect 1	1569814089044	1569814089069	OK	 
REQUEST	623		scotland-yes	1569814088995	1569814089071	OK	 
REQUEST	337		select_address	1569814089014	1569814089084	OK	 
REQUEST	220		enter_code	1569814089024	1569814089084	OK	 
REQUEST	370		select_address	1569814089035	1569814089084	OK	 
REQUEST	622		send_do_you_live_in_scotland_no	1569814088994	1569814089084	OK	 
REQUEST	591		send_dob Redirect 1	1569814088995	1569814089076	OK	 
USER	Full scenarios	635	START	1569814089085	1569814089085
USER	Scottish Scenario	624	START	1569814089084	1569814089084
REQUEST	188		accept_terms_and_conditions	1569814088985	1569814089087	OK	 
REQUEST	546		send_children_dob Redirect 1	1569814089001	1569814089087	OK	 
REQUEST	551		send_do_you_have_children Redirect 1	1569814089002	1569814089089	OK	 
REQUEST	571		send_do_you_have_children	1569814089014	1569814089089	OK	 
REQUEST	587		send_do_you_live_in_scotland_yes	1569814089045	1569814089090	OK	 
REQUEST	313		send_phone_number	1569814089025	1569814089094	OK	 
REQUEST	600		send_dob	1569814089025	1569814089094	OK	 
REQUEST	299		send_phone_number	1569814089025	1569814089095	OK	 
REQUEST	185		accept_terms_and_conditions Redirect 1	1569814089061	1569814089097	OK	 
USER	Full scenarios	185	END	1569814065474	1569814089098
REQUEST	318		send_phone_number Redirect 1	1569814089066	1569814089098	OK	 
REQUEST	579		send_do_you_live_in_scotland_yes Redirect 1	1569814089040	1569814089100	OK	 
REQUEST	391		send_postcode Redirect 1	1569814089051	1569814089100	OK	 
REQUEST	554		send_do_you_have_children Redirect 1	1569814089021	1569814089112	OK	 
REQUEST	466		send_name	1569814089004	1569814089113	OK	 
REQUEST	319		send_phone_number Redirect 1	1569814089041	1569814089120	OK	 
REQUEST	187		accept_terms_and_conditions Redirect 1	1569814089023	1569814089120	OK	 
USER	Full scenarios	187	END	1569814065764	1569814089121
REQUEST	366		select_address Redirect 1	1569814089033	1569814089121	OK	 
USER	Scottish Scenario	537	END	1569814085186	1569814089125
REQUEST	530		send_children_dob	1569814089055	1569814089126	OK	 
REQUEST	569		send_do_you_have_children	1569814089125	1569814089136	OK	 
REQUEST	550		send_do_you_have_children Redirect 1	1569814089059	1569814089147	OK	 
REQUEST	188		accept_terms_and_conditions Redirect 1	1569814089087	1569814089150	OK	 
REQUEST	404		send_postcode	1569814089055	1569814089150	OK	 
USER	Full scenarios	188	END	1569814065904	1569814089150
REQUEST	335		send_phone_number	1569814089134	1569814089152	OK	 
REQUEST	370		select_address Redirect 1	1569814089085	1569814089153	OK	 
REQUEST	220		enter_code Redirect 1	1569814089084	1569814089154	OK	 
REQUEST	506		send_are_you_pregnant	1569814089085	1569814089155	OK	 
REQUEST	313		send_phone_number Redirect 1	1569814089094	1569814089153	OK	 
REQUEST	569		send_do_you_have_children Redirect 1	1569814089136	1569814089156	OK	 
REQUEST	587		send_do_you_live_in_scotland_yes Redirect 1	1569814089090	1569814089160	OK	 
REQUEST	571		send_do_you_have_children Redirect 1	1569814089089	1569814089160	OK	 
REQUEST	600		send_dob Redirect 1	1569814089094	1569814089162	OK	 
REQUEST	624		scotland-yes	1569814089086	1569814089163	OK	 
REQUEST	316		send_email_address	1569814089114	1569814089166	OK	 
REQUEST	337		select_address Redirect 1	1569814089085	1569814089169	OK	 
REQUEST	635		scotland-no	1569814089086	1569814089171	OK	 
REQUEST	622		send_do_you_live_in_scotland_no Redirect 1	1569814089085	1569814089172	OK	 
REQUEST	530		send_children_dob Redirect 1	1569814089126	1569814089174	OK	 
USER	Scottish Scenario	565	END	1569814086742	1569814089175
USER	Scottish Scenario	625	START	1569814089175	1569814089175
USER	Full scenarios	636	START	1569814089175	1569814089175
REQUEST	423		send_postcode	1569814089145	1569814089178	OK	 
REQUEST	299		send_phone_number Redirect 1	1569814089095	1569814089180	OK	 
REQUEST	432		send_nino	1569814089155	1569814089181	OK	 
REQUEST	510		send_children_dob	1569814089105	1569814089189	OK	 
REQUEST	466		send_name Redirect 1	1569814089113	1569814089189	OK	 
REQUEST	586		send_do_you_live_in_scotland_yes	1569814089166	1569814089189	OK	 
REQUEST	574		send_do_you_have_children	1569814089145	1569814089194	OK	 
REQUEST	316		send_email_address Redirect 1	1569814089166	1569814089194	OK	 
REQUEST	335		send_phone_number Redirect 1	1569814089152	1569814089200	OK	 
REQUEST	452		send_name	1569814089145	1569814089207	OK	 
REQUEST	423		send_postcode Redirect 1	1569814089179	1569814089209	OK	 
REQUEST	403		select_address	1569814089125	1569814089209	OK	 
REQUEST	506		send_are_you_pregnant Redirect 1	1569814089155	1569814089209	OK	 
REQUEST	427		send_postcode	1569814089176	1569814089213	OK	 
REQUEST	635		send_do_you_live_in_scotland_no	1569814089174	1569814089213	OK	 
REQUEST	233		enter_code	1569814089185	1569814089218	OK	 
REQUEST	432		send_nino Redirect 1	1569814089181	1569814089226	OK	 
REQUEST	510		send_children_dob Redirect 1	1569814089189	1569814089226	OK	 
REQUEST	202		accept_terms_and_conditions	1569814089095	1569814089227	OK	 
REQUEST	527		send_children_dob	1569814089184	1569814089228	OK	 
REQUEST	430		send_nino	1569814089185	1569814089229	OK	 
REQUEST	450		send_name	1569814089176	1569814089232	OK	 
REQUEST	625		scotland-yes	1569814089176	1569814089230	OK	 
REQUEST	404		send_postcode Redirect 1	1569814089152	1569814089235	OK	 
REQUEST	531		send_children_dob	1569814089209	1569814089235	OK	 
REQUEST	574		send_do_you_have_children Redirect 1	1569814089194	1569814089237	OK	 
REQUEST	586		send_do_you_live_in_scotland_yes Redirect 1	1569814089190	1569814089237	OK	 
REQUEST	427		send_postcode Redirect 1	1569814089213	1569814089236	OK	 
REQUEST	636		scotland-no	1569814089176	1569814089249	OK	 
REQUEST	233		enter_code Redirect 1	1569814089218	1569814089250	OK	 
REQUEST	230		enter_code	1569814089235	1569814089251	OK	 
REQUEST	430		send_nino Redirect 1	1569814089230	1569814089254	OK	 
REQUEST	526		send_children_dob	1569814089209	1569814089256	OK	 
REQUEST	452		send_name Redirect 1	1569814089208	1569814089257	OK	 
REQUEST	219		enter_code	1569814089224	1569814089257	OK	 
REQUEST	490		send_are_you_pregnant	1569814089224	1569814089258	OK	 
REQUEST	424		send_nino	1569814089217	1569814089259	OK	 
REQUEST	636		send_do_you_live_in_scotland_no	1569814089249	1569814089267	OK	 
USER	Scottish Scenario	626	START	1569814089268	1569814089268
USER	Full scenarios	637	START	1569814089268	1569814089268
REQUEST	635		send_do_you_live_in_scotland_no Redirect 1	1569814089213	1569814089272	OK	 
REQUEST	403		select_address Redirect 1	1569814089210	1569814089275	OK	 
REQUEST	599		send_dob	1569814089255	1569814089276	OK	 
REQUEST	334		send_phone_number	1569814089245	1569814089281	OK	 
REQUEST	202		accept_terms_and_conditions Redirect 1	1569814089228	1569814089273	OK	 
USER	Full scenarios	202	END	1569814066654	1569814089283
REQUEST	447		send_nino	1569814089245	1569814089284	OK	 
REQUEST	267		get unique code from session	1569814089235	1569814089286	OK	 
REQUEST	527		send_children_dob Redirect 1	1569814089228	1569814089287	OK	 
REQUEST	531		send_children_dob Redirect 1	1569814089236	1569814089288	OK	 
REQUEST	429		send_name	1569814089235	1569814089289	OK	 
USER	Scottish Scenario	562	END	1569814086455	1569814089289
REQUEST	356		send_manual_address	1569814089235	1569814089298	OK	 
REQUEST	424		send_nino Redirect 1	1569814089259	1569814089300	OK	 
REQUEST	219		enter_code Redirect 1	1569814089257	1569814089302	OK	 
REQUEST	584		send_do_you_live_in_scotland_yes	1569814089268	1569814089303	OK	 
REQUEST	626		scotland-yes	1569814089269	1569814089304	OK	 
REQUEST	230		enter_code Redirect 1	1569814089251	1569814089306	OK	 
REQUEST	353		send_manual_address	1569814089281	1569814089308	OK	 
REQUEST	490		send_are_you_pregnant Redirect 1	1569814089258	1569814089310	OK	 
REQUEST	556		send_do_you_have_children	1569814089268	1569814089313	OK	 
REQUEST	599		send_dob Redirect 1	1569814089277	1569814089313	OK	 
REQUEST	429		send_name Redirect 1	1569814089289	1569814089314	OK	 
REQUEST	526		send_children_dob Redirect 1	1569814089256	1569814089315	OK	 
REQUEST	412		send_nino	1569814089268	1569814089318	OK	 
REQUEST	636		send_do_you_live_in_scotland_no Redirect 1	1569814089267	1569814089322	OK	 
REQUEST	584		send_do_you_live_in_scotland_yes Redirect 1	1569814089303	1569814089323	OK	 
REQUEST	369		select_address	1569814089281	1569814089323	OK	 
REQUEST	637		scotland-no	1569814089269	1569814089324	OK	 
REQUEST	412		send_nino Redirect 1	1569814089321	1569814089333	OK	 
REQUEST	334		send_phone_number Redirect 1	1569814089281	1569814089335	OK	 
REQUEST	450		send_name Redirect 1	1569814089232	1569814089335	OK	 
REQUEST	556		send_do_you_have_children Redirect 1	1569814089313	1569814089340	OK	 
REQUEST	369		select_address Redirect 1	1569814089324	1569814089348	OK	 
USER	Scottish Scenario	627	START	1569814089354	1569814089354
USER	Full scenarios	638	START	1569814089354	1569814089354
REQUEST	389		select_address	1569814089281	1569814089356	OK	 
REQUEST	447		send_nino Redirect 1	1569814089285	1569814089357	OK	 
REQUEST	250		send_code	1569814089334	1569814089359	OK	 
REQUEST	282		send_code	1569814089295	1569814089360	OK	 
REQUEST	353		send_manual_address Redirect 1	1569814089308	1569814089362	OK	 
REQUEST	356		send_manual_address Redirect 1	1569814089298	1569814089363	OK	 
REQUEST	511		send_children_dob	1569814089334	1569814089365	OK	 
REQUEST	637		send_do_you_live_in_scotland_no	1569814089324	1569814089372	OK	 
REQUEST	250		send_code Redirect 1	1569814089359	1569814089375	OK	 
REQUEST	511		send_children_dob Redirect 1	1569814089365	1569814089379	OK	 
REQUEST	504		send_are_you_pregnant	1569814089334	1569814089383	OK	 
REQUEST	389		select_address Redirect 1	1569814089356	1569814089391	OK	 
REQUEST	508		send_are_you_pregnant	1569814089374	1569814089393	OK	 
REQUEST	282		send_code Redirect 1	1569814089361	1569814089393	OK	 
REQUEST	638		scotland-no	1569814089355	1569814089400	OK	 
REQUEST	199		enter_code	1569814089374	1569814089410	OK	 
REQUEST	443		send_nino	1569814089374	1569814089411	OK	 
REQUEST	280		send_code	1569814089374	1569814089412	OK	 
REQUEST	595		send_dob	1569814089365	1569814089412	OK	 
REQUEST	386		select_address	1569814089384	1569814089416	OK	 
REQUEST	504		send_are_you_pregnant Redirect 1	1569814089383	1569814089416	OK	 
REQUEST	627		scotland-yes	1569814089355	1569814089415	OK	 
REQUEST	472		send_name	1569814089365	1569814089417	OK	 
REQUEST	508		send_are_you_pregnant Redirect 1	1569814089393	1569814089428	OK	 
REQUEST	595		send_dob Redirect 1	1569814089412	1569814089429	OK	 
REQUEST	492		send_are_you_pregnant	1569814089398	1569814089430	OK	 
REQUEST	386		select_address Redirect 1	1569814089416	1569814089431	OK	 
REQUEST	637		send_do_you_live_in_scotland_no Redirect 1	1569814089372	1569814089431	OK	 
REQUEST	638		send_do_you_live_in_scotland_no	1569814089400	1569814089431	OK	 
REQUEST	280		send_code Redirect 1	1569814089412	1569814089432	OK	 
REQUEST	199		enter_code Redirect 1	1569814089410	1569814089437	OK	 
REQUEST	443		send_nino Redirect 1	1569814089411	1569814089438	OK	 
REQUEST	489		send_are_you_pregnant	1569814089398	1569814089441	OK	 
USER	Full scenarios	639	START	1569814089447	1569814089447
USER	Scottish Scenario	628	START	1569814089447	1569814089447
REQUEST	638		send_do_you_live_in_scotland_no Redirect 1	1569814089432	1569814089454	OK	 
REQUEST	507		send_are_you_pregnant	1569814089430	1569814089454	OK	 
REQUEST	492		send_are_you_pregnant Redirect 1	1569814089431	1569814089455	OK	 
REQUEST	486		send_are_you_pregnant	1569814089447	1569814089465	OK	 
REQUEST	388		send_postcode	1569814089447	1569814089472	OK	 
REQUEST	575		send_do_you_have_children	1569814089430	1569814089480	OK	 
REQUEST	639		scotland-no	1569814089447	1569814089481	OK	 
REQUEST	585		send_do_you_live_in_scotland_yes	1569814089435	1569814089475	OK	 
REQUEST	472		send_name Redirect 1	1569814089430	1569814089483	OK	 
REQUEST	489		send_are_you_pregnant Redirect 1	1569814089442	1569814089486	OK	 
REQUEST	507		send_are_you_pregnant Redirect 1	1569814089454	1569814089487	OK	 
REQUEST	317		send_phone_number	1569814089466	1569814089489	OK	 
REQUEST	486		send_are_you_pregnant Redirect 1	1569814089466	1569814089487	OK	 
REQUEST	446		send_nino	1569814089454	1569814089491	OK	 
REQUEST	503		send_are_you_pregnant	1569814089435	1569814089496	OK	 
REQUEST	628		scotland-yes	1569814089447	1569814089499	OK	 
USER	Scottish Scenario	560	END	1569814086274	1569814089504
REQUEST	575		send_do_you_have_children Redirect 1	1569814089480	1569814089507	OK	 
REQUEST	547		send_children_dob	1569814089480	1569814089511	OK	 
REQUEST	570		send_do_you_have_children	1569814089480	1569814089514	OK	 
REQUEST	585		send_do_you_live_in_scotland_yes Redirect 1	1569814089484	1569814089514	OK	 
REQUEST	639		send_do_you_live_in_scotland_no	1569814089483	1569814089517	OK	 
REQUEST	503		send_are_you_pregnant Redirect 1	1569814089496	1569814089517	OK	 
REQUEST	446		send_nino Redirect 1	1569814089492	1569814089522	OK	 
REQUEST	388		send_postcode Redirect 1	1569814089490	1569814089523	OK	 
REQUEST	512		send_are_you_pregnant	1569814089485	1569814089524	OK	 
REQUEST	317		send_phone_number Redirect 1	1569814089489	1569814089528	OK	 
REQUEST	215		enter_code	1569814089498	1569814089530	OK	 
REQUEST	470		send_name	1569814089484	1569814089535	OK	 
REQUEST	444		send_postcode	1569814089484	1569814089535	OK	 
REQUEST	614		send_dob	1569814089516	1569814089536	OK	 
REQUEST	547		send_children_dob Redirect 1	1569814089511	1569814089537	OK	 
USER	Full scenarios	640	START	1569814089537	1569814089537
USER	Scottish Scenario	629	START	1569814089544	1569814089544
REQUEST	639		send_do_you_live_in_scotland_no Redirect 1	1569814089517	1569814089546	OK	 
REQUEST	598		send_dob	1569814089516	1569814089553	OK	 
REQUEST	338		send_manual_address	1569814089525	1569814089554	OK	 
REQUEST	215		enter_code Redirect 1	1569814089530	1569814089555	OK	 
REQUEST	614		send_dob Redirect 1	1569814089536	1569814089554	OK	 
REQUEST	367		select_address	1569814089525	1569814089564	OK	 
REQUEST	552		send_do_you_have_children	1569814089544	1569814089564	OK	 
REQUEST	315		send_email_address	1569814089544	1569814089573	OK	 
REQUEST	598		send_dob Redirect 1	1569814089553	1569814089574	OK	 
REQUEST	491		send_are_you_pregnant	1569814089484	1569814089576	OK	 
REQUEST	406		select_address	1569814089552	1569814089577	OK	 
REQUEST	570		send_do_you_have_children Redirect 1	1569814089514	1569814089577	OK	 
REQUEST	231		enter_code	1569814089516	1569814089579	OK	 
REQUEST	512		send_are_you_pregnant Redirect 1	1569814089527	1569814089583	OK	 
REQUEST	338		send_manual_address Redirect 1	1569814089555	1569814089592	OK	 
REQUEST	406		select_address Redirect 1	1569814089577	1569814089593	OK	 
REQUEST	444		send_postcode Redirect 1	1569814089535	1569814089594	OK	 
REQUEST	485		send_name	1569814089535	1569814089594	OK	 
REQUEST	597		send_dob	1569814089535	1569814089594	OK	 
REQUEST	246		send_code	1569814089535	1569814089597	OK	 
REQUEST	552		send_do_you_have_children Redirect 1	1569814089566	1569814089597	OK	 
REQUEST	613		send_dob	1569814089525	1569814089605	OK	 
REQUEST	470		send_name Redirect 1	1569814089535	1569814089606	OK	 
REQUEST	315		send_email_address Redirect 1	1569814089573	1569814089607	OK	 
REQUEST	367		select_address Redirect 1	1569814089564	1569814089610	OK	 
REQUEST	615		send_dob	1569814089575	1569814089612	OK	 
REQUEST	231		enter_code Redirect 1	1569814089580	1569814089613	OK	 
REQUEST	525		send_are_you_pregnant	1569814089525	1569814089614	OK	 
REQUEST	578		send_do_you_have_children	1569814089544	1569814089616	OK	 
REQUEST	640		scotland-no	1569814089537	1569814089617	OK	 
REQUEST	629		scotland-yes	1569814089544	1569814089617	OK	 
USER	Full scenarios	641	START	1569814089626	1569814089626
REQUEST	491		send_are_you_pregnant Redirect 1	1569814089576	1569814089631	OK	 
REQUEST	615		send_dob Redirect 1	1569814089612	1569814089632	OK	 
USER	Scottish Scenario	630	START	1569814089634	1569814089634
REQUEST	485		send_name Redirect 1	1569814089594	1569814089646	OK	 
REQUEST	613		send_dob Redirect 1	1569814089605	1569814089646	OK	 
REQUEST	487		send_name	1569814089629	1569814089652	OK	 
REQUEST	641		scotland-no	1569814089629	1569814089652	OK	 
REQUEST	588		send_do_you_live_in_scotland_yes	1569814089634	1569814089656	OK	 
REQUEST	235		get unique code from session	1569814089626	1569814089659	OK	 
REQUEST	351		send_manual_address	1569814089586	1569814089667	OK	 
REQUEST	525		send_are_you_pregnant Redirect 1	1569814089614	1569814089670	OK	 
REQUEST	597		send_dob Redirect 1	1569814089594	1569814089670	OK	 
REQUEST	641		send_do_you_live_in_scotland_no	1569814089653	1569814089673	OK	 
REQUEST	246		send_code Redirect 1	1569814089597	1569814089676	OK	 
REQUEST	487		send_name Redirect 1	1569814089652	1569814089674	OK	 
REQUEST	302		send_phone_number	1569814089655	1569814089678	OK	 
REQUEST	640		send_do_you_live_in_scotland_no	1569814089618	1569814089690	OK	 
REQUEST	216		enter_code	1569814089655	1569814089692	OK	 
REQUEST	588		send_do_you_live_in_scotland_yes Redirect 1	1569814089657	1569814089695	OK	 
REQUEST	529		send_children_dob	1569814089656	1569814089698	OK	 
REQUEST	331		send_phone_number	1569814089656	1569814089701	OK	 
REQUEST	578		send_do_you_have_children Redirect 1	1569814089616	1569814089699	OK	 
REQUEST	630		scotland-yes	1569814089634	1569814089702	OK	 
REQUEST	351		send_manual_address Redirect 1	1569814089668	1569814089702	OK	 
REQUEST	297		send_email_address	1569814089634	1569814089703	OK	 
REQUEST	465		send_name	1569814089627	1569814089704	OK	 
USER	Scottish Scenario	580	END	1569814087085	1569814089705
REQUEST	641		send_do_you_live_in_scotland_no Redirect 1	1569814089673	1569814089704	OK	 
REQUEST	302		send_phone_number Redirect 1	1569814089678	1569814089711	OK	 
REQUEST	601		send_do_you_live_in_scotland_yes	1569814089664	1569814089712	OK	 
USER	Full scenarios	642	START	1569814089715	1569814089715
REQUEST	549		send_children_dob	1569814089656	1569814089722	OK	 
USER	Scottish Scenario	631	START	1569814089724	1569814089724
REQUEST	594		send_do_you_have_children	1569814089687	1569814089735	OK	 
REQUEST	604		send_do_you_live_in_scotland_yes	1569814089715	1569814089738	OK	 
REQUEST	451		send_postcode	1569814089696	1569814089744	OK	 
REQUEST	216		enter_code Redirect 1	1569814089692	1569814089745	OK	 
REQUEST	331		send_phone_number Redirect 1	1569814089701	1569814089745	OK	 
REQUEST	236		enter_code	1569814089715	1569814089746	OK	 
REQUEST	214		get unique code from session	1569814089656	1569814089747	OK	 
REQUEST	631		scotland-yes	1569814089725	1569814089754	OK	 
REQUEST	640		send_do_you_live_in_scotland_no Redirect 1	1569814089691	1569814089755	OK	 
REQUEST	601		send_do_you_live_in_scotland_yes Redirect 1	1569814089713	1569814089760	OK	 
REQUEST	642		scotland-no	1569814089716	1569814089761	OK	 
REQUEST	297		send_email_address Redirect 1	1569814089703	1569814089763	OK	 
REQUEST	589		send_do_you_live_in_scotland_yes	1569814089735	1569814089763	OK	 
REQUEST	604		send_do_you_live_in_scotland_yes Redirect 1	1569814089738	1569814089764	OK	 
REQUEST	465		send_name Redirect 1	1569814089704	1569814089765	OK	 
REQUEST	549		send_children_dob Redirect 1	1569814089722	1569814089766	OK	 
REQUEST	217		enter_code	1569814089705	1569814089767	OK	 
REQUEST	348		send_phone_number	1569814089705	1569814089772	OK	 
REQUEST	428		send_postcode	1569814089715	1569814089773	OK	 
REQUEST	529		send_children_dob Redirect 1	1569814089699	1569814089769	OK	 
REQUEST	451		send_postcode Redirect 1	1569814089744	1569814089777	OK	 
REQUEST	168		accept_terms_and_conditions	1569814089626	1569814089779	OK	 
REQUEST	589		send_do_you_live_in_scotland_yes Redirect 1	1569814089764	1569814089780	OK	 
REQUEST	594		send_do_you_have_children Redirect 1	1569814089735	1569814089784	OK	 
REQUEST	642		send_do_you_live_in_scotland_no	1569814089761	1569814089785	OK	 
REQUEST	236		enter_code Redirect 1	1569814089746	1569814089785	OK	 
REQUEST	602		send_do_you_live_in_scotland_yes	1569814089715	1569814089786	OK	 
REQUEST	300		send_email_address	1569814089765	1569814089787	OK	 
REQUEST	217		enter_code Redirect 1	1569814089767	1569814089789	OK	 
REQUEST	348		send_phone_number Redirect 1	1569814089773	1569814089795	OK	 
REQUEST	229		enter_code	1569814089765	1569814089799	OK	 
REQUEST	642		send_do_you_live_in_scotland_no Redirect 1	1569814089785	1569814089800	OK	 
REQUEST	300		send_email_address Redirect 1	1569814089787	1569814089801	OK	 
REQUEST	428		send_postcode Redirect 1	1569814089773	1569814089803	OK	 
REQUEST	602		send_do_you_live_in_scotland_yes Redirect 1	1569814089786	1569814089805	OK	 
REQUEST	168		accept_terms_and_conditions Redirect 1	1569814089780	1569814089806	OK	 
USER	Full scenarios	168	END	1569814064045	1569814089807
USER	Scottish Scenario	632	START	1569814089814	1569814089814
USER	Full scenarios	643	START	1569814089814	1569814089814
REQUEST	229		enter_code Redirect 1	1569814089799	1569814089815	OK	 
REQUEST	407		send_postcode	1569814089794	1569814089819	OK	 
REQUEST	467		send_name	1569814089814	1569814089829	OK	 
REQUEST	336		send_phone_number	1569814089814	1569814089833	OK	 
USER	Scottish Scenario	582	END	1569814087274	1569814089834
REQUEST	407		send_postcode Redirect 1	1569814089819	1569814089845	OK	 
REQUEST	534		send_children_dob	1569814089826	1569814089846	OK	 
REQUEST	632		scotland-yes	1569814089815	1569814089848	OK	 
REQUEST	467		send_name Redirect 1	1569814089830	1569814089855	OK	 
REQUEST	336		send_phone_number Redirect 1	1569814089834	1569814089855	OK	 
USER	Scottish Scenario	559	END	1569814086174	1569814089864
REQUEST	643		scotland-no	1569814089815	1569814089872	OK	 
REQUEST	372		select_address	1569814089845	1569814089872	OK	 
REQUEST	534		send_children_dob Redirect 1	1569814089846	1569814089880	OK	 
REQUEST	505		send_are_you_pregnant	1569814089845	1569814089879	OK	 
USER	Scottish Scenario	561	END	1569814086367	1569814089884
REQUEST	248		get unique code from session	1569814089855	1569814089886	OK	 
REQUEST	372		select_address Redirect 1	1569814089872	1569814089886	OK	 
REQUEST	198		accept_terms_and_conditions	1569814089804	1569814089887	OK	 
REQUEST	617		send_dob	1569814089874	1569814089890	OK	 
REQUEST	643		send_do_you_live_in_scotland_no	1569814089872	1569814089892	OK	 
USER	Full scenarios	644	START	1569814089904	1569814089904
USER	Scottish Scenario	633	START	1569814089904	1569814089904
REQUEST	505		send_are_you_pregnant Redirect 1	1569814089880	1569814089905	OK	 
REQUEST	198		accept_terms_and_conditions Redirect 1	1569814089888	1569814089912	OK	 
USER	Full scenarios	198	END	1569814066154	1569814089912
